Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1826893,F33254714,First Flight,,,,,
1836875,ZD6706630,First Flight,delhi,15-Nov-2012,gwalior,17-Nov-2012,Pending
1825810,ZD6706624,First Flight,delhi,14-Nov-2012,ghaziabad,17-Nov-2012,Pending
1836193,O33843910,First Flight,panipet,12-Nov-2012,jodhpur,1-Dec-2012,Return to origin
1834855,ZD6706924,First Flight,delhi,16-Nov-2012,tenali,22-Nov-2012,Delivered
1835737,ZD6707000,First Flight,delhi,17-Nov-2012,singrauli,20-Nov-2012,Pending
1836010,ZD6706928,First Flight,delhi,16-Nov-2012,chennai,21-Nov-2012,Pending
1816632,LD3795993,First Flight,delhi,16-Nov-2012,dharmanagar,--,In Transit[Contact]
1829842,1829842,First Flight,,,,,
1835252,ZD6707056,First Flight,delhi,17-Nov-2012,guwahati,20-Nov-2012,Pending
1841458,ZD6707025,First Flight,delhi,16-Nov-2012,karwar,19-Nov-2012,Pending
1843891,ZD6707022,First Flight,delhi,16-Nov-2012,manaparai,1-Dec-2012,Pending
1823326,LD3491762,First Flight,delhi,17-Nov-2012,bokaro,21-Nov-2012,Pending
1823600,ZD6707119,First Flight,,,,,
1825498,LD3491765,First Flight,delhi,17-Nov-2012,hyderabad,21-Nov-2012,Pending
1825768,LD3491766,First Flight,delhi,17-Nov-2012,gandhidham,3-Dec-2012,Return to origin
1829097,ZD6707124,First Flight,delhi,17-Nov-2012,barbil,--,In Transit[Contact]
1829992,LD3491775,First Flight,delhi,17-Nov-2012,asansol,21-Nov-2012,Pending
1830392,LD3491777,First Flight,delhi,17-Nov-2012,trivandrum,21-Nov-2012,Pending
1831065,LD4132986,First Flight,delhi,19-Nov-2012,guwahati,24-Nov-2012,Pending
1832247,LD4130498,First Flight,delhi,17-Nov-2012,siliguri,24-Nov-2012,Pending
1832461,LD3491781,First Flight,delhi,17-Nov-2012,mumbai,26-Nov-2012,Pending
1837429,ZD6707113,First Flight,delhi,17-Nov-2012,vadalore,--,In Transit[Contact]
1837445,ZD6707114,First Flight,delhi,17-Nov-2012,vadalore,--,In Transit[Contact]
1843385,ZD6707078,First Flight,delhi,17-Nov-2012,jodhpur,--,In Transit[Contact]
1843543,ZD6707086,First Flight,delhi,17-Nov-2012,modinagar,--,In Transit[Contact]
1844088,LD4130500,First Flight,delhi,17-Nov-2012,namakkal,29-Nov-2012,Pending
1844665,ZD6707102,First Flight,delhi,17-Nov-2012,ludhiana,20-Nov-2012,Pending
1844818,ZD6707072,First Flight,delhi,17-Nov-2012,karur,--,In Transit[Contact]
1830511,LD3491840,First Flight,delhi,19-Nov-2012,indore,1-Dec-2012,Return to origin
1844773,ZD6708282,First Flight,delhi,19-Nov-2012,karur,--,In Transit[Contact]
1845739,ZD6708298,First Flight,,--,,26-Nov-2012,Pending
1845827,ZD6708299,First Flight,,,,,
1857204,ZD6707267,First Flight,,,,,
1857239,ZD6707271,First Flight,delhi,18-Nov-2012,delhi,--,In Transit[Contact]
1829549,LD3491828,First Flight,delhi,20-Nov-2012,bhusawal,29-Nov-2012,Delivered
1832068,LD3491791,First Flight,delhi,20-Nov-2012,haldwani,3-Dec-2012,Pending
1840137,LD3491823,First Flight,delhi,20-Nov-2012,purnea,24-Nov-2012,Pending
1841490,LD3491832,First Flight,delhi,20-Nov-2012,bhatinda,22-Nov-2012,Pending
1843124,LD4211590,First Flight,delhi,20-Nov-2012,kishanganj,24-Nov-2012,Pending
1843843,ZD6708330,First Flight,delhi,19-Nov-2012,shimoga,--,In Transit[Contact]
1844738,ZD6708341,First Flight,,,,,
1846826,ZD6708338,First Flight,delhi,20-Nov-2012,raipur,--,In Transit[Contact]
1825491,LD3491889,First Flight,delhi,21-Nov-2012,udaipur,3-Dec-2012,Pending
1826604,LD3491895,First Flight,delhi,20-Nov-2012,guwahati,--,In Transit[Contact]
1831830,ZD6709376,First Flight,,,,,
