Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1822640,X01556264,DTDC,,,DELHI,,REVERTED
1835425,Z78134261,DTDC,,,SOLAPUR,,IN TRANSIT
1829181,X01556031,DTDC,,,DELHI,,REVERTED
1833211,Z78134459,DTDC,,,KHAMGAON,,IN TRANSIT
1833247,Z78134460,DTDC,,,NAGPUR,,IN TRANSIT
1833264,Z78134461,DTDC,,,KHAMGAON,,IN TRANSIT
1833316,Z78134464,DTDC,,,KHAMGAON,,IN TRANSIT
1833329,Z78134465,DTDC,,,KHAMGAON,,IN TRANSIT
1834746,Z78134476,DTDC,,,PATNA,Thu, "Nov 22, 2012 6:10 PM",DELIVERED
1837328,X01556150,DTDC,,,DELHI,,RETURN TO ORIGIN
1840003,Z78163350,DTDC,,,DELHI,,REVERTED
1840585,Z78163355,DTDC,,,,,
1842027,Z78163366,DTDC,,,CUDDAPAH,Tue, Nov 20, 2012 3:40 PM,DELIVERED
1843644,Z78163307,DTDC,,,LUCKNOW,,IN TRANSIT
1790073,z78333816,DTDC,,,LUCKNOW,Tue, Nov 20, 2012 0:00 PM,DELIVERED
1831340,Z78163392,DTDC,,,CHENNAI,,IN TRANSIT
1840564,X01556340,DTDC,,,LUDHIANA,,ATTEMPTED
1843664,D11157179,DTDC,,,,,
1842359,D11115029,DTDC,,,PUNE,,IN TRANSIT
1844212,Z78163383,DTDC,,,IMPHAL,Tue, Nov 27, 2012 11:30 AM,DELIVERED
1844945,D11115026,DTDC,,,DELHI,,IN TRANSIT
1830693,Z78163576,DTDC,,,HINJILICUT,Tue, Dec 04, 2012 11:05 AM,DELIVERED
1832918,Z78354365,DTDC,,,COCHIN,,IN TRANSIT
1841297,Z78163625,DTDC,,,CHENNAI,,IN TRANSIT
1845326,X01555934,DTDC,,,BERHAMPUR -OR,,HELD UP
1845981,Z78163610,DTDC,,,ERODE,Mon, Dec 03, 2012 10:20 AM,DELIVERED
1847300,Z78163611,DTDC,,,MADIKERI,Mon, Dec 03, 2012 10:25 AM,DELIVERED
1847522,Z78163660,DTDC,,,TRICHUR,Wed, Dec 05, 2012 0:30 PM,DELIVERED
1848540,Z78163664,DTDC,,,SAMBALPUR,,ATTEMPTED
1848809,Z78163665,DTDC,,,RAJKOT,Sat, Dec 01, 2012 10:35 AM,DELIVERED
1849081,Z78163673,DTDC,,,GOOTY,Mon, Dec 03, 2012 11:30 AM,DELIVERED
1849713,Z78163681,DTDC,,,HISSAR,,IN TRANSIT
1850996,Z78163697,DTDC,,,KURNOOL,Tue, Dec 04, 2012 8:52 PM,DELIVERED
1851107,Z78163699,DTDC,,,BERHAMPUR -OR,Tue, Dec 04, 2012 11:05 AM,DELIVERED
1851147,Z78163700,DTDC,,,BURDWAN,Mon, Dec 03, 2012 3:00 PM,DELIVERED
1851382,Z78163703,DTDC,,,HISSAR,,IN TRANSIT
1851531,Z78163704,DTDC,,,SATNA,Mon, Dec 03, 2012 0:00 PM,DELIVERED
1851535,Z78163705,DTDC,,,LATUR,Mon, Dec 03, 2012 0:00 PM,DELIVERED
1852125,Z78163711,DTDC,,,SAMBALPUR,,ATTEMPTED
1852325,Z78163715,DTDC,,,CHENNAI,Tue, Dec 04, 2012 0:45 PM,DELIVERED
1852540,Z78163717,DTDC,,,CUDDAPAH,,IN TRANSIT
1852613,Z78163719,DTDC,,,CHENNAI,Tue, Dec 04, 2012 0:45 PM,DELIVERED
1852707,Z78163721,DTDC,,,SAMBALPUR,,ATTEMPTED
